% Tiempo en UTC
% *Espacios sin datos estan marcados con NaN (not a number)
%año  mes dia hora min sec BV(volts) Temp DO Q
%
2025  1 16  1 30  0 2.84 7.397 11.278 1.006
2025  1 16  1 35  0 2.84 7.368 11.286 1.006
2025  1 16  1 40  0 2.84 7.321 11.303 1.006
2025  1 16  1 45  0 2.84 7.282 11.314 1.006
2025  1 16  1 50  0 2.84 7.253 11.321 1.006
2025  1 16  1 55  0 2.84 7.205 11.349 1.006
2025  1 16  2  0  0 2.85 7.186 11.336 1.006
2025  1 16  2  5  0 2.85 7.129 11.352 1.006
2025  1 16  2 10  0 2.85 7.100 11.363 1.006
2025  1 16  2 15  0 2.85 7.061 11.367 1.006
2025  1 16  2 20  0 2.85 7.032 11.375 1.006
2025  1 16  2 25  0 2.85 6.994 11.386 1.005
2025  1 16  2 30  0 2.85 6.955 11.410 1.006
2025  1 16  2 35  0 2.85 6.898 11.438 1.006
2025  1 16  2 40  0 2.85 6.878 11.433 1.006
2025  1 16  2 45  0 2.85 6.811 11.444 1.006
2025  1 16  2 50  0 2.85 6.753 11.470 1.006
2025  1 16  2 55  0 2.85 6.724 11.484 1.006
2025  1 16  3  0  0 2.85 6.704 11.482 1.006
2025  1 16  3  5  0 2.85 6.617 11.516 1.006
2025  1 16  3 10  0 2.85 6.568 11.523 1.006
2025  1 16  3 15  0 2.85 6.559 11.528 1.006
2025  1 16  3 20  0 2.85 6.500 11.559 1.006
2025  1 16  3 25  0 2.85 6.471 11.553 1.006
2025  1 16  3 30  0 2.84 6.403 11.568 1.006
2025  1 16  3 35  0 2.84 6.374 11.577 1.006
2025  1 16  3 40  0 2.84 6.354 11.566 1.006
2025  1 16  3 45  0 2.84 6.325 11.580 1.005
2025  1 16  3 50  0 2.84 6.296 11.590 1.006
2025  1 16  3 55  0 2.84 6.247 11.606 1.006
2025  1 16  4  0  0 2.84 6.218 11.613 1.006
2025  1 16  4  5  0 2.84 6.198 11.632 1.006
2025  1 16  4 10  0 2.84 6.149 11.623 1.005
2025  1 16  4 15  0 2.85 6.100 11.651 1.006
2025  1 16  4 20  0 2.85 6.090 11.650 1.005
2025  1 16  4 25  0 2.85 6.061 11.658 1.006
2025  1 16  4 30  0 2.85 6.041 11.665 1.005
2025  1 16  4 35  0 2.85 6.012 11.665 1.005
2025  1 16  4 40  0 2.85 5.992 11.681 1.005
2025  1 16  4 45  0 2.85 5.963 11.684 1.005
2025  1 16  4 50  0 2.85 5.943 11.705 1.006
2025  1 16  4 55  0 2.85 5.943 11.687 1.005
