% Tiempo en UTC
% *Espacios sin datos estan marcados con NaN (not a number)
%año  mes dia hora min sec BV(volts) Temp DO Q
%
2024  1 26 13 31  0 3.12 7.311 9.991 0.996
2024  1 26 13 41  0 3.12 7.196 9.969 0.997
2024  1 26 13 51  0 3.12 7.186 9.965 0.997
2024  1 26 14  1  0 3.13 7.148 9.980 0.997
2024  1 26 14 11  0 3.12 7.234 10.012 0.997
2024  1 26 14 21  0 3.12 7.234 9.977 0.997
2024  1 26 14 31  0 3.13 7.100 9.969 0.997
2024  1 26 14 41  0 3.13 7.119 9.965 0.996
2024  1 26 14 51  0 3.13 7.138 9.989 0.997
2024  1 26 15  1  0 3.13 7.061 9.981 0.997
2024  1 26 15 11  0 3.13 7.129 10.038 0.997
2024  1 26 15 21  0 3.12 7.177 10.041 0.997
2024  1 26 15 31  0 3.12 7.196 10.054 0.996
2024  1 26 15 41  0 3.13 7.023 9.986 0.997
2024  1 26 15 51  0 3.13 7.119 10.046 0.996
2024  1 26 16  1  0 3.13 7.109 9.993 0.997
2024  1 26 16 11  0 3.13 7.013 9.940 0.997
2024  1 26 16 21  0 3.13 7.023 9.971 0.997
2024  1 26 16 31  0 3.13 7.081 9.987 0.997
2024  1 26 16 41  0 3.13 7.100 9.986 0.997
2024  1 26 16 51  0 3.13 7.100 9.979 0.997
2024  1 26 17  1  0 3.13 6.926 9.915 0.997
2024  1 26 17 11  0 3.13 6.994 9.937 0.996
2024  1 26 17 21  0 3.13 7.023 9.930 0.997
2024  1 26 17 31  0 3.13 6.926 9.878 0.997
2024  1 26 17 41  0 3.13 6.926 9.879 0.997
2024  1 26 17 51  0 3.13 6.917 9.901 0.997
2024  1 26 18  1  0 3.13 6.878 9.890 0.997
2024  1 26 18 11  0 3.13 6.878 9.897 0.997
2024  1 26 18 21  0 3.13 6.926 9.906 0.997
2024  1 26 18 31  0 3.13 6.878 9.903 0.996
2024  1 26 18 41  0 3.13 6.859 9.923 0.997
2024  1 26 18 51  0 3.13 6.869 9.915 0.996
2024  1 26 19  1  0 3.13 6.869 9.952 0.997
2024  1 26 19 11  0 3.13 6.984 9.932 0.997
2024  1 26 19 21  0 3.13 7.023 9.969 0.997
2024  1 26 19 31  0 3.13 7.042 9.984 0.997
2024  1 26 19 41  0 3.13 7.081 9.932 0.996
2024  1 26 19 51  0 3.13 7.032 9.956 0.997
2024  1 26 20  1  0 3.13 7.042 10.001 0.997
2024  1 26 20 11  0 3.13 7.052 10.027 0.997
2024  1 26 20 21  0 3.13 7.071 9.943 0.996
2024  1 26 20 31  0 3.13 7.081 9.983 0.997
2024  1 26 20 41  0 3.13 7.109 9.996 0.997
2024  1 26 20 51  0 3.12 7.129 10.006 0.997
2024  1 26 21  1  0 3.13 7.100 10.005 0.997
2024  1 26 21 11  0 3.12 7.157 10.037 0.997
2024  1 26 21 21  0 3.13 7.253 10.083 0.997
2024  1 26 21 31  0 3.13 7.215 10.027 0.997
2024  1 26 21 41  0 3.12 7.234 10.074 0.997
2024  1 26 21 51  0 3.12 7.301 10.126 0.996
2024  1 26 22  1  0 3.13 7.167 10.058 0.997
2024  1 26 22 11  0 3.13 7.129 10.026 0.997
2024  1 26 22 21  0 3.13 7.071 9.991 0.996
2024  1 26 22 31  0 3.13 7.013 10.020 0.997
2024  1 26 22 41  0 3.13 7.023 10.032 0.997
2024  1 26 22 51  0 3.12 7.167 10.054 0.997
2024  1 26 23  1  0 3.12 7.215 10.020 0.997
2024  1 26 23 11  0 3.13 7.081 9.994 0.997
2024  1 26 23 21  0 3.13 7.081 9.997 0.996
2024  1 26 23 31  0 3.12 7.234 10.001 0.996
2024  1 26 23 41  0 3.12 7.311 10.051 0.997
2024  1 26 23 51  0 3.12 7.349 10.057 0.997
2024  1 27  0  1  0 3.13 7.071 9.943 0.997
2024  1 27  0 11  0 3.13 7.023 9.961 0.997
2024  1 27  0 21  0 3.12 7.215 9.974 0.997
2024  1 27  0 31  0 3.12 7.330 10.050 0.996
2024  1 27  0 41  0 3.12 7.359 10.066 0.997
2024  1 27  0 51  0 3.12 7.148 9.941 0.997
2024  1 27  1  1  0 3.12 7.186 9.945 0.997
2024  1 27  1 11  0 3.13 7.148 9.942 0.997
2024  1 27  1 21  0 3.12 7.196 9.979 0.997
2024  1 27  1 31  0 3.12 7.244 9.948 0.997
2024  1 27  1 41  0 3.13 7.090 9.949 0.997
2024  1 27  1 51  0 3.12 7.071 9.954 0.997
2024  1 27  2  1  0 3.12 7.119 9.971 0.997
2024  1 27  2 11  0 3.12 7.225 10.020 0.997
2024  1 27  2 21  0 3.12 7.109 9.948 0.997
2024  1 27  2 31  0 3.13 7.004 9.932 0.997
2024  1 27  2 41  0 3.13 7.004 9.945 0.997
2024  1 27  2 51  0 3.13 6.965 9.941 0.997
2024  1 27  3  1  0 3.13 6.975 9.975 0.997
2024  1 27  3 11  0 3.13 7.004 9.943 0.996
2024  1 27  3 21  0 3.13 6.946 9.941 0.997
2024  1 27  3 31  0 3.13 6.936 9.878 0.997
2024  1 27  3 41  0 3.13 6.926 9.881 0.997
2024  1 27  3 51  0 3.13 6.946 9.894 0.997
2024  1 27  4  1  0 3.13 6.975 9.952 0.997
