Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Castillo, M; Cáceres, M; ","El bosque como fuente de alimento: Un estudio etnobotánico de plantas silvestres comestibles en tres comunidades de la Reserva Biológica Indio-Maíz, y tres comunidades de la Reserva de Biosfera Bosawas",Universidad Nacional Agraria. Facultad de Recursos Naturales y del Ambiente. Nicaragua,,,,2009,
"Salcedo-Castro, Julio; Olita, Antonio; Saavedra, Freddy; Castillo, Manuel; Saldías, Gonzalo S; Cruz-Gómez, Raúl; ",Modelling the interannual variability of Maipo and Rapel river plumes off central Chile,EGUsphere,2023,,1-23,2023,"Copernicus Publications Göttingen, Germany"
"Landaeta, Mauricio F; Hernández-Santoro, Carola; Search, Francesca V; Castillo, Manuel I; Bernal, Claudio; Navarrete, Sergio A; Wieters, Evie A; Beldade, Ricardo; Navarro Campoi, Ana; Pérez-Matus, Alejandro; ","Spatio-temporal patterns of the crustacean demersal fishery discard from the south Humboldt Current System, based on scientific observer program (2014–2019)",Plos One,18,2,e0281932,2023,"Public Library of Science San Francisco, CA USA"
"CASTILLO, Manuel; ",El círculo cerrado: de poder de grupo a empresarios y grupos de poder,varios autores. Movimientos sociales: elementos para una relectura. Lima: Desco,,,,1990,
"Castillo, Manuel; Quispe, Andrés; ","El Estado post-ajuste: institucionalidad, Estado, actores y conflictos empresariales",(No Title),,,,1997,
"Ballón, Eduardo; Castillo, Manuel; ",Movimientos sociales y crisis: el caso peruano,(No Title),,,,1986,
"Landaeta, Mauricio F; Paredes, Lissette D; Castillo, Manuel I; González, M Teresa; ",Spatio‐temporal patterns of ichthyoplankton in southern Chilean Patagonia: β‐diversity and associated environmental factors,Fisheries Oceanography,32,4,341-351,2023,
"Linford, Pamela; Pérez-Santos, Iván; Montero, Paulina; Díaz, Patricio; Aracena, Claudia; Pinilla, Elías; Barrera, Facundo; Castillo, Manuel; Alvera-Azcárate, Aida; Alvarado, Mónica; ",Oceanographic processes favoring deoxygenation inside Patagonian fjords,EGUsphere,2023,,1-34,2023,"Copernicus Publications Göttingen, Germany"
"Castillo, M; ","Estudio epidemiológico de parasitismo gastrointestinal en caprinos lecheros en comuna de Purranque, Décima región de Los Lagos, Chile: periodo otoño-invierno",,,,,2003,Tesis de Médico Veterinario. Universidad Austral de Chile
"Castillo, Manuel; Quispe, Andrés; ",Reforma estructural y reconversión empresarial: conflictos y desafíos,(No Title),,,,1996,
